GRID_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,FGA,FGM,FG_PCT
League Averages,Above the Break 3,Back Court(BC),Back Court Shot,53,5,0.094
League Averages,Above the Break 3,Center(C),24+ ft.,15393,5330,0.346
League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,24499,8783,0.359
League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,22679,8082,0.356
League Averages,Backcourt,Back Court(BC),Back Court Shot,406,10,0.025
League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,12725,5894,0.463
League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,24947,10799,0.433
League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,2219,982,0.443
League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,2550,1152,0.452
League Averages,Left Corner 3,Left Side(L),24+ ft.,11064,4261,0.385
League Averages,Mid-Range,Center(C),16-24 ft.,3806,1609,0.423
League Averages,Mid-Range,Center(C),8-16 ft.,2050,927,0.452
League Averages,Mid-Range,Left Side Center(LC),16-24 ft.,3466,1418,0.409
League Averages,Mid-Range,Left Side(L),8-16 ft.,4817,2021,0.42
League Averages,Mid-Range,Left Side(L),16-24 ft.,1415,565,0.399
League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,3833,1622,0.423
League Averages,Mid-Range,Right Side(R),16-24 ft.,1408,554,0.393
League Averages,Mid-Range,Right Side(R),8-16 ft.,4968,2117,0.426
League Averages,Restricted Area,Center(C),Less Than 8 ft.,64983,43298,0.666
League Averages,Right Corner 3,Right Side(R),24+ ft.,9939,3831,0.385
